,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Valentina Cernoia,CML,27,5.0,0,0,0,3,0,1,0.0,0.60,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
Sara Gama,CBR,30,5.0,0,0,0,1,0,0,0.0,0.20,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
Manuela Giugliano,DM,21,5.0,0,0,0,3,0,0,0.0,0.60,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
Laura Giuliani,GK,26,5.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Elena Linari,CBL,25,5.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Alia Guagni,LB,31,4.6,0,0,0,1,0,0,0.0,0.22,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Barbara Bonansea,LW,28,4.4,2,0,0,10,5,0,50.0,2.27,1.14,0.20,0.40,1.0,1.0,0.10,#ERROR!,#ERROR!,Matches
Valentina Bergamaschi,RB,22,3.4,0,0,0,6,4,,66.7,1.76,1.17,0.00,0.00,,,,,,Matches
Cristiana Girelli,FW ,29,3.1,3,1,1,6,2,0,33.3,1.94,0.65,0.33,1.00,1.6,0.8,0.14,#ERROR!,#ERROR!,Matches
Aurora Galli,CMR,22,3.3,3,0,0,4,3,0,75.0,1.20,0.90,0.75,1.00,1.0,1.0,0.26,#ERROR!,#ERROR!,Matches
Ilaria Mauro,RW,31,1.1,0,0,0,2,1,0,50.0,1.86,0.93,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1,Matches
