,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Deneisha Blackwood,LB,22,3.0,0,0,0,2,0,0,0.0,0.67,0.00,0.00,,0.2,0.2,0.09,-0.2,-0.2,Matches
Konya Plummer,CBL,21,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Bunny Shaw,FW,22,3.0,0,0,0,12,4,1,33.3,4.00,1.33,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
Allyson Swaby,CBR,22,3.0,0,0,0,2,0,0,0.0,0.67,0.00,0.00,,0.2,0.2,0.10,-0.2,-0.2,Matches
Chantelle Swaby,CML,20,2.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Havana Solaun,DM,26,2.3,1,0,0,3,2,0,66.7,1.30,0.87,0.33,0.50,0.8,0.8,0.25,#ERROR!,#ERROR!,Matches
Sydney Schneider,GK,19,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Cheyna Matthews,RW,25,1.3,0,0,0,2,1,0,50.0,1.49,0.74,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
Marlo Sweatman,CMR,24,1.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Trudi Carter,LW,24,1.2,0,0,0,3,0,0,0.0,2.45,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
Dominique Bond-Flasza,RB,22,1.0,0,0,0,1,0,1,0.0,1.00,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
