,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Saki Kumagai,CBR,28,4.0,0,0,0,2,0,0,0.0,0.50,0.00,0.00,,0.4,0.4,0.18,-0.4,-0.4,Matches
Aya Sameshima,LB,31,4.0,0,0,0,1,1,0,100.0,0.25,0.25,0.00,0.00,0.0,0.0,0.03,0.0,0.0,Matches
Risa Shimizu,RB,22,4.0,0,0,0,2,0,0,0.0,0.50,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
Hina Sugita,CML,22,4.0,0,0,0,7,1,0,14.3,1.75,0.25,0.00,0.00,0.7,0.7,0.10,-0.7,-0.7,Matches
Ayaka Yamashita,GK,23,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Emi Nakajima,RW,28,3.6,0,0,0,6,2,0,33.3,1.66,0.55,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
Yuika Sugasawa,FWR,28,3.3,1,1,1,11,3,0,27.3,3.31,0.90,0.00,0.00,1.9,1.1,0.10,-0.9,-1.1,Matches
Narumi Miura,CMR,21,3.3,0,0,0,2,0,0,0.0,0.60,0.00,0.00,,0.2,0.2,0.10,-0.2,-0.2,Matches
Mana Iwabuchi,FWL,26,3.3,1,0,0,8,2,0,25.0,2.44,0.61,0.13,0.50,0.4,0.4,0.05,#ERROR!,#ERROR!,Matches
Nana Ichise,CBL,21,3.0,0,0,0,1,0,0,0.0,0.33,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
Jun Endō,LW,19,1.9,0,0,0,2,0,0,0.0,01.08,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
