,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Kasper Schmeichel,GK,31,38.0,0,0,0,1,0,0,0.0,0.03,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
Wilfred Ndidi,DM,21,36.6,2,0,0,56,9,0,16.1,1.53,0.25,0.04,0.22,3.3,3.3,0.06,-1.3,-1.3,Matches
Ben Chilwell,LB,21,36.0,0,0,0,20,10,0,50.0,0.56,0.28,0.00,0.00,0.9,0.9,0.05,-0.9,-0.9,Matches
Ricardo Pereira,RB,24,34.7,2,0,0,26,9,0,34.6,0.75,0.26,0.08,0.22,1.6,1.6,0.06,#ERROR!,#ERROR!,Matches
James Maddison,CML,21,31.6,7,1,2,82,27,14,32.9,2.59,0.85,0.07,0.22,7.4,5.8,0.07,-0.4,#ERROR!,Matches
Jamie Vardy,FW,31,30.4,18,4,5,75,32,0,42.7,2.47,01.05,0.19,0.44,17.0,13.2,0.18,#ERROR!,#ERROR!,Matches
Demarai Gray,RW,22,22.2,4,0,0,46,19,1,41.3,02.08,0.86,0.09,0.21,4.1,4.1,0.09,-0.1,-0.1,Matches
Wes Morgan,CBR,34,21.4,3,0,0,14,5,0,35.7,0.65,0.23,0.21,0.60,2.1,2.1,0.15,#ERROR!,#ERROR!,Matches
Youri Tielemans,CMR,21,12.1,3,0,0,30,10,2,33.3,2.47,0.82,0.10,0.30,1.8,1.8,0.06,#ERROR!,#ERROR!,Matches
Harvey Barnes,LW,20,11.2,1,0,0,39,11,0,28.2,3.48,0.98,0.03,0.09,3.3,3.3,0.08,-2.3,-2.3,Matches
Çağlar Söyüncü,CBL,22,4.1,0,0,0,2,1,0,50.0,0.49,0.24,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1,Matches
