Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG
Alisson,GK,25,38,0,0,0,0,0,0,,0,0,,,0
Virgil van Dijk,CBL,27,37.6,4,0,0,32,8,1,25,0.85,0.21,0.13,0.5,3.1
Mohamed Salah,RW,26,36.2,22,3,3,135,60,3,44.4,3.72,1.66,0.14,0.32,19.3
Andrew Robertson,LB,24,35.8,0,0,0,14,5,0,35.7,0.39,0.14,0,0,1
Sadio Mané,LW,26,34.3,22,0,0,88,42,0,47.7,2.57,1.22,0.25,0.52,16
Georginio Wijnaldum,CMR,27,30.4,3,0,0,30,8,0,26.7,0.99,0.26,0.1,0.38,2.5
Roberto Firmino,FW,26,29.1,12,1,1,73,31,0,42.5,2.51,1.06,0.15,0.35,12.5
Trent Alexander-Arnold,RB,19,27.4,1,0,0,29,9,9,31,1.06,0.33,0.03,0.11,1.4
Fabinho,DM,24,22.4,1,0,0,17,4,0,23.5,0.76,0.18,0.06,0.25,0.9
Jordan Henderson,CML,28,22,1,0,0,16,1,0,6.3,0.73,0.05,0.06,1,1.8
Joël Matip,CBR,26,17,1,0,0,8,2,0,25,0.47,0.12,0.13,0.5,0.7
