,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ederson,GK,24,38.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Aymeric Laporte,CBL,24,34.0,3,0,0,27,7,0,25.9,0.79,0.21,0.11,0.43,2.4,2.4,0.09,#ERROR!,#ERROR!,Matches
Bernardo Silva,CMR,23,31.7,7,0,0,64,22,0,34.4,02.02,0.69,0.11,0.32,6.3,6.3,0.10,#ERROR!,#ERROR!,Matches
Raheem Sterling,RW,23,30.9,17,0,0,76,37,1,48.7,2.46,1.20,0.22,0.46,12.5,12.5,0.16,#ERROR!,#ERROR!,Matches
Sergio Agüero,FW,30,27.6,21,2,2,118,41,3,34.7,4.28,1.49,0.16,0.46,20.3,18.8,0.16,#ERROR!,#ERROR!,Matches
Kyle Walker,RB,28,30.9,1,0,0,20,3,1,15.0,0.65,0.10,0.05,0.33,0.7,0.7,0.04,#ERROR!,#ERROR!,Matches
David Silva,CML,32,26.8,6,0,0,50,18,4,36.0,1.87,0.67,0.12,0.33,6.7,6.7,0.14,-0.7,-0.7,Matches
Fernandinho,DM,33,26.5,1,0,0,31,7,0,22.6,1.17,0.26,0.03,0.14,2.0,2.0,0.06,-1.0,-1.0,Matches
Leroy Sané,LW,22,20.7,10,0,0,56,24,5,42.9,2.70,1.16,0.18,0.42,5.8,5.8,0.10,#ERROR!,#ERROR!,Matches
John Stones,CBR,24,19.6,0,0,0,5,1,0,20.0,0.26,0.05,0.00,0.00,0.3,0.3,0.06,-0.3,-0.3,Matches
Benjamin Mendy,LB,24,10.0,0,0,0,7,2,0,28.6,0.70,0.20,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
