,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
David de Gea,GK,27,38.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Paul Pogba,CML,25,33.5,13,7,10,96,38,6,39.6,2.87,1.14,0.06,0.16,14.1,6.4,0.07,-1.1,-0.4,Matches
Victor Lindelöf,CBR,24,28.9,1,0,0,7,1,0,14.3,0.24,0.03,0.14,1.00,0.6,0.6,0.09,#ERROR!,#ERROR!,Matches
Ashley Young,RB,33,28.5,2,0,0,12,3,2,25.0,0.42,0.11,0.17,0.67,0.4,0.4,0.03,#ERROR!,#ERROR!,Matches
Nemanja Matić,DM,29,27.1,1,0,0,12,3,0,25.0,0.44,0.11,0.08,0.33,1.6,1.6,0.14,-0.6,-0.6,Matches
Marcus Rashford,FW,20,26.0,10,0,0,83,40,12,48.2,3.19,1.54,0.12,0.25,9.0,9.0,0.11,#ERROR!,#ERROR!,Matches
Jesse Lingard,RW,25,18.5,4,1,1,31,12,0,38.7,1.67,0.65,0.10,0.25,5.0,4.2,0.14,-1.0,-1.2,Matches
Anthony Martial,LW,22,18.0,10,1,1,37,22,0,59.5,02.05,1.22,0.24,0.41,5.8,5.0,0.14,#ERROR!,#ERROR!,Matches
Ander Herrera,CMR,28,15.6,2,0,0,21,9,0,42.9,1.35,0.58,0.10,0.22,1.8,1.8,0.09,#ERROR!,#ERROR!,Matches
Phil Jones,CBL,26,14.0,0,0,0,5,2,0,40.0,0.36,0.14,0.00,0.00,0.4,0.4,0.09,-0.4,-0.4,Matches
Diogo Dalot,LB,19,11.3,0,0,0,15,0,0,0.0,1.33,0.00,0.00,,0.4,0.4,0.03,-0.4,-0.4,Matches
