,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Martin Dúbravka,GK,29,38.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Matt Ritchie,LW,28,32.7,2,1,2,39,7,0,17.9,1.19,0.21,0.03,0.14,5.0,3.4,0.09,-3.0,-2.4,Matches
Ayoze Pérez,FWL,25,32.5,12,0,0,53,26,0,49.1,1.63,0.80,0.23,0.46,7.7,7.7,0.15,#ERROR!,#ERROR!,Matches
Jamaal Lascelles,CB,24,30.5,0,0,0,10,1,0,10.0,0.33,0.03,0.00,0.00,0.6,0.6,0.06,-0.6,-0.6,Matches
Salomón Rondón,FWR,28,29.0,11,0,0,89,29,9,32.6,03.07,1.00,0.12,0.38,10.7,10.7,0.12,#ERROR!,#ERROR!,Matches
DeAndre Yedlin,RW,25,27.5,1,0,0,11,2,0,18.2,0.40,0.07,0.09,0.50,1.0,1.0,0.09,0.0,0.0,Matches
Fabian Schär,CBR,26,22.3,4,0,0,23,7,1,30.4,01.03,0.31,0.17,0.57,1.8,1.8,0.08,#ERROR!,#ERROR!,Matches
Isaac Hayden,CMR,23,20.7,1,0,0,20,5,0,25.0,0.97,0.24,0.05,0.20,0.8,0.8,0.04,#ERROR!,#ERROR!,Matches
Christian Atsu,CML,26,16.5,1,0,0,28,14,0,50.0,1.69,0.85,0.04,0.07,2.0,2.0,0.07,-1.0,-1.0,Matches
Florian Lejeune,CBL,27,11.7,0,0,0,6,2,0,33.3,0.51,0.17,0.00,0.00,0.5,0.5,0.08,-0.5,-0.5,Matches
Sean Longstaff,DM,20,7.6,1,0,0,8,2,0,25.0,01.05,0.26,0.13,0.50,0.4,0.4,0.05,#ERROR!,#ERROR!,Matches
