,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Onome Ebi,CBR,36,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Osinachi Ohale,CBL,27,4.0,0,0,0,4,1,0,25.0,1.00,0.25,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2,Matches
Ngozi Okobi,DM,25,4.0,0,0,0,2,0,0,0.0,0.50,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
Francisca Ordega,LW,25,3.8,0,0,0,4,1,0,25.0,01.04,0.26,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2,Matches
Desire Oparanozie,FW,25,3.8,0,0,0,6,2,1,33.3,1.58,0.53,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
Chidinma Okeke,RB,18,3.4,0,0,0,1,0,0,0.0,0.29,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
Rita Chikwelu,CML,31,3.0,0,0,0,1,0,0,0.0,0.33,0.00,0.00,,0.1,0.1,0.13,-0.1,-0.1,Matches
Chiamaka Nnadozie,GK,18,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Asisat Oshoala,RW,24,2.9,1,0,0,5,1,0,20.0,1.74,0.35,0.20,1.00,0.8,0.8,0.16,#ERROR!,#ERROR!,Matches
Ngozi Ebere,LB,27,2.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Chinaza Uchendu,CMR,21,1.3,0,0,0,3,1,0,33.3,2.27,0.76,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
