,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ingrid Hjelmseth,GK,39,5.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Kristine Minde,LB,26,5.3,0,0,0,1,1,0,100.0,0.19,0.19,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1,Matches
Maren Mjelde,CBR,29,5.3,0,1,1,6,1,3,16.7,1.13,0.19,-0.17,-1.00,1.2,0.4,0.07,-1.2,-1.4,Matches
Ingrid Syrstad Engen,CML,21,5.3,0,1,1,3,0,0,0.0,0.56,0.00,-0.33,,0.8,0.1,0.03,-0.8,-1.1,Matches
Maria Thorisdottir,CBL,26,5.3,0,0,0,1,0,0,0.0,0.19,0.00,0.00,,0.1,0.1,0.09,-0.1,-0.1,Matches
Vilde Bøe Risa,CMR,23,5.3,0,0,0,3,1,0,33.3,0.57,0.19,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
Guro Reiten,LW,24,5.2,1,1,1,6,1,0,16.7,1.16,0.19,0.00,0.00,1.1,0.3,0.05,-0.1,-0.3,Matches
Ingrid Moe Wold,RB,29,5.0,0,0,0,4,1,0,25.0,0.79,0.20,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
Caroline Graham Hansen,RW,24,4.9,1,2,2,14,7,1,50.0,2.84,1.42,-0.07,-0.14,2.7,1.1,0.08,-1.7,-2.1,Matches
Isabell Herlovsen,FWR,30,4.6,2,1,1,6,2,0,33.3,1.30,0.43,0.17,0.50,1.8,1.1,0.18,#ERROR!,-0.1,Matches
Lisa-Marie Karlseng Utland,FWL,26,2.3,1,0,0,7,2,0,28.6,03.03,0.87,0.14,0.50,1.0,1.0,0.14,0.0,0.0,Matches
