,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Katie Bowen,DM,25,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Abby Erceg,CB,29,3.0,0,0,0,2,0,0,0.0,0.67,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Erin Nayler,GK,27,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Ria Percival,CMR,29,3.0,0,0,0,4,1,0,25.0,1.33,0.33,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
Ali Riley,LW,31,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Rebekah Stott,CBR,25,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Olivia Chance,CML,25,3.0,0,0,0,3,0,0,0.0,01.01,0.00,0.00,,0.3,0.3,0.09,-0.3,-0.3,Matches
Rosie White,FWL,26,2.8,0,0,0,3,1,0,33.3,01.06,0.35,0.00,0.00,0.2,0.2,0.07,-0.2,-0.2,Matches
Sarah Gregorius,FWR,31,2.5,0,0,0,3,2,0,66.7,1.19,0.80,0.00,0.00,0.6,0.6,0.20,-0.6,-0.6,Matches
Anna Green,CBL,28,1.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Katie Duncan,RW,31,0.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
