,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Nathan Redmond,FWR,24,36.4,6,0,0,74,22,3,29.7,02.03,0.60,0.08,0.27,6.3,6.3,0.09,-0.3,-0.3,Matches
Pierre Højbjerg,CML,22,30.7,4,0,0,53,19,2,35.8,1.73,0.62,0.08,0.21,2.5,2.5,0.05,#ERROR!,#ERROR!,Matches
Alex McCarthy,GK,28,25.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Oriol Romeu,DM,26,23.8,1,0,0,10,4,0,40.0,0.42,0.17,0.10,0.25,0.7,0.7,0.08,#ERROR!,#ERROR!,Matches
Ryan Bertrand,LW,28,24.0,1,0,0,15,2,3,13.3,0.62,0.08,0.07,0.50,1.0,1.0,0.06,0.0,0.0,Matches
Jan Bednarek,CBR,22,23.9,0,0,0,6,1,0,16.7,0.25,0.04,0.00,0.00,0.7,0.7,0.12,-0.7,-0.7,Matches
Jannik Vestergaard,CBL,25,22.6,0,0,0,13,1,1,7.7,0.58,0.04,0.00,0.00,0.6,0.6,0.04,-0.6,-0.6,Matches
Danny Ings,FWL,26,18.5,7,3,3,52,19,0,36.5,2.81,01.03,0.08,0.21,8.8,6.6,0.13,-1.8,-2.6,Matches
James Ward-Prowse,CMR,23,21.6,7,1,1,30,14,7,46.7,1.39,0.65,0.20,0.43,3.3,2.6,0.09,#ERROR!,#ERROR!,Matches
Yan Valery,RW,19,19.0,2,0,0,6,5,0,83.3,0.32,0.26,0.33,0.40,0.6,0.6,0.09,#ERROR!,#ERROR!,Matches
Maya Yoshida,CB,29,16.9,0,0,0,13,3,0,23.1,0.77,0.18,0.00,0.00,1.8,1.8,0.14,-1.8,-1.8,Matches
