,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Noko Matlou,CBL,33,3.0,0,0,0,1,0,0,0.0,0.33,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
Lebogang Ramalepe,RB,27,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Janine van Wyk,CBR,32,3.0,0,0,0,1,0,0,0.0,0.33,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
Kholosa Biyana,CML,24,3.0,0,0,0,2,1,0,50.0,0.67,0.33,0.00,0.00,0.0,0.0,0.01,0.0,0.0,Matches
Refiloe Jane,LW,26,2.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Ode Fulutudilu,FW,29,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Thembi Kgatlana,RW,23,2.5,1,0,0,7,3,0,42.9,2.80,1.20,0.14,0.33,0.8,0.8,0.11,#ERROR!,#ERROR!,Matches
Mamello Makhabane,CMR,31,2.0,0,0,0,1,0,0,0.0,0.50,0.00,0.00,,0.0,0.0,0.05,0.0,0.0,Matches
Bambanani Mbane,DM,29,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Kaylin Swart,GK,24,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Sibulele Holweni,LB,18,0.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
