,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Hedvig Lindahl,GK,36,7.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Linda Sembrant,CBL,32,7.3,1,0,0,3,1,0,33.3,0.41,0.14,0.33,1.00,0.3,0.3,0.09,#ERROR!,#ERROR!,Matches
Caroline Seger,CML,34,6.8,0,0,0,3,0,0,0.0,0.44,0.00,0.00,,0.2,0.2,0.07,-0.2,-0.2,Matches
Kosovare Asllani,AM,29,6.7,3,0,0,16,5,0,31.3,2.38,0.75,0.19,0.60,2.0,2.0,0.13,#ERROR!,#ERROR!,Matches
Hanna Glas,RB,26,6.6,0,0,0,3,2,0,66.7,0.45,0.30,0.00,0.00,0.0,0.0,0.01,0.0,0.0,Matches
Sofia Jakobsson,RW,29,6.3,2,0,0,14,7,0,50.0,2.21,1.11,0.14,0.29,1.2,1.2,0.08,#ERROR!,#ERROR!,Matches
Magdalena Eriksson,LB,25,6.2,0,0,0,6,2,1,33.3,0.96,0.32,0.00,0.00,0.5,0.5,0.08,-0.5,-0.5,Matches
Nilla Fischer,CBR,34,6.1,0,0,0,2,2,0,100.0,0.33,0.33,0.00,0.00,0.3,0.3,0.14,-0.3,-0.3,Matches
Stina Blackstenius,FW,23,6.0,2,0,0,13,5,0,38.5,2.18,0.84,0.15,0.40,2.3,2.3,0.17,-0.3,-0.3,Matches
Fridolina Rolfö,LW,25,3.9,1,0,0,12,3,0,25.0,03.09,0.77,0.08,0.33,0.4,0.4,0.03,#ERROR!,#ERROR!,Matches
Nathalie Björn,CMR,22,2.0,0,0,0,1,0,0,0.0,0.51,0.00,0.00,,0.1,0.1,0.14,-0.1,-0.1,Matches
