,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Natthakarn Chinwong,CBR,27,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Suchawadee Nildhamrong,CMR,22,3.0,0,0,0,1,0,0,0.0,0.33,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Ainon Phancha,DM,27,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Sunisa Srangthaisong,LB,31,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Kanjana Sungngoen,FW,32,3.0,1,0,0,4,2,0,50.0,1.33,0.67,0.25,0.50,0.2,0.2,0.04,#ERROR!,#ERROR!,Matches
Silawan Intamee,LW,25,2.8,0,0,0,3,1,0,33.3,01.07,0.36,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2,Matches
Thongsombut Rattikan,RW,27,2.0,0,0,0,2,2,,100.0,01.01,01.01,0.00,0.00,,,,,,Matches
Pikul Khueanpet,CML,30,2.6,0,0,0,1,0,0,0.0,0.38,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
Waraporn Boonsing,GK,29,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Pitsamai Sornsai,CBL,30,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Warunee Phetwiset,RB,28,1.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
