,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Hugo Lloris,GK,31,33.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Toby Alderweireld,CBL,29,32.5,0,0,0,17,6,0,35.3,0.52,0.18,0.00,0.00,1.3,1.3,0.08,-1.3,-1.3,Matches
Christian Eriksen,AM,26,30.8,8,0,0,84,31,12,36.9,2.73,01.01,0.10,0.26,5.2,5.2,0.06,#ERROR!,#ERROR!,Matches
Harry Kane,FW,25,27.0,17,4,4,97,42,4,43.3,3.60,1.56,0.13,0.31,13.9,10.8,0.11,#ERROR!,#ERROR!,Matches
Moussa Sissoko,CMR,28,26.0,0,0,0,15,3,0,20.0,0.58,0.12,0.00,0.00,1.2,1.2,0.08,-1.2,-1.2,Matches
Kieran Trippier,RB,27,25.3,1,0,0,8,3,4,37.5,0.32,0.12,0.13,0.33,0.5,0.5,0.06,#ERROR!,#ERROR!,Matches
Son Heung-min,LW,26,22.7,12,0,0,75,28,1,37.3,3.30,1.23,0.16,0.43,7.6,7.6,0.10,#ERROR!,#ERROR!,Matches
Dele Alli,RW,22,20.4,5,0,0,40,18,1,45.0,1.97,0.88,0.13,0.28,5.1,5.1,0.13,-0.1,-0.1,Matches
Ben Davies,LB,25,20.4,0,0,0,15,1,0,6.7,0.73,0.05,0.00,0.00,0.8,0.8,0.05,-0.8,-0.8,Matches
Danny Rose,CBR,28,20.0,0,0,0,15,2,0,13.3,0.75,0.10,0.00,0.00,0.7,0.7,0.05,-0.7,-0.7,Matches
Harry Winks,CML,22,17.7,1,0,0,9,2,0,22.2,0.51,0.11,0.11,0.50,0.6,0.6,0.06,#ERROR!,#ERROR!,Matches
