,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ben Foster,GK,35,38,0,0,0,1,0,0,0,0.03,0,0,,0,0,0.02,0,0,Matches
Craig Cathcart,CBL,29,34.4,3,0,0,16,6,0,37.5,0.46,0.17,0.19,0.5,2,2,0.12,#ERROR!,#ERROR!,Matches
Abdoulaye Doucouré,CMR,25,34,5,0,0,52,16,0,30.8,1.53,0.47,0.1,0.31,5.5,5.5,0.11,-0.5,-0.5,Matches
Étienne Capoue,CML,30,32.7,1,0,0,17,3,5,17.6,0.52,0.09,0.06,0.33,0.9,0.9,0.05,#ERROR!,#ERROR!,Matches
Roberto Pereyra,LW,27,31.4,6,0,0,56,21,6,37.5,1.78,0.67,0.11,0.29,4.9,4.9,0.09,#ERROR!,#ERROR!,Matches
Will Hughes,RW,23,27.1,2,0,0,31,8,0,25.8,1.15,0.3,0.06,0.25,2.6,2.6,0.08,-0.6,-0.6,Matches
Troy Deeney,FWL,30,28.3,9,1,1,61,28,0,45.9,2.16,0.99,0.13,0.29,9.2,8.4,0.14,-0.2,-0.4,Matches
José Holebas,LB,34,26.6,3,0,0,17,6,4,35.3,0.64,0.23,0.18,0.5,1.2,1.2,0.07,#ERROR!,#ERROR!,Matches
Gerard Deulofeu,FWR,24,23.1,10,0,0,62,23,6,37.1,2.68,0.99,0.16,0.43,8.5,8.5,0.14,#ERROR!,#ERROR!,Matches
Kiko Femenía,LR,27,22.7,1,0,0,7,3,0,42.9,0.31,0.13,0.14,0.33,0.4,0.4,0.06,#ERROR!,#ERROR!,Matches
Adrian Mariappa,CBR,31,21.3,0,0,0,5,1,0,20,0.23,0.05,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches
