,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Łukasz Fabiański,GK,33,38,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
Felipe Anderson,LW,25,33.9,9,0,0,58,24,5,41.4,1.71,0.71,0.16,0.38,5,5,0.09,#ERROR!,#ERROR!,Matches
Declan Rice,CMR,19,33.4,2,0,0,24,5,0,20.8,0.72,0.15,0.08,0.4,1.3,1.3,0.05,#ERROR!,#ERROR!,Matches
Issa Diop,CBL,21,33,1,0,0,14,4,0,28.6,0.42,0.12,0.07,0.25,1.4,1.4,0.1,-0.4,-0.4,Matches
Mark Noble,CML,31,25.6,5,4,4,13,5,0,38.5,0.51,0.2,0.08,0.2,3.7,0.7,0.05,#ERROR!,#ERROR!,Matches
Marko Arnautović,FW,29,22.2,10,1,1,62,30,3,48.4,2.79,1.35,0.15,0.3,9.6,8.8,0.14,#ERROR!,#ERROR!,Matches
Fabián Balbuena,CBR,26,22.4,1,0,0,17,2,0,11.8,0.76,0.09,0.06,0.5,2.1,2.1,0.13,-1.1,-1.1,Matches
Michail Antonio,RW,28,23.3,6,0,0,65,25,0,38.5,2.79,1.07,0.09,0.24,7.1,7.1,0.11,-1.1,-1.1,Matches
Arthur Masuaku,LB,24,19.5,0,0,0,4,1,0,25,0.21,0.05,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Ryan Fredericks,RB,25,12.1,1,0,0,5,2,0,40,0.41,0.17,0.2,0.5,0.5,0.5,0.09,#ERROR!,#ERROR!,Matches
Manuel Lanzini,AM,25,7.7,1,0,0,11,4,3,36.4,1.44,0.52,0.09,0.25,1.5,1.5,0.14,-0.5,-0.5,Matches
