,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Conor Coady,CB,25,38.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Rui Patrício,GK,30,37.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Raúl Jiménez,FWR,27,34.7,13,2,2,113,32,0,28.3,3.26,0.92,0.10,0.34,13.8,12.3,0.11,-0.8,-1.3,Matches
João Moutinho,CML,31,33.8,1,0,0,18,3,1,16.7,0.53,0.09,0.06,0.33,0.6,0.6,0.03,#ERROR!,#ERROR!,Matches
Ryan Bennett,CBR,28,34.0,1,0,0,15,3,0,20.0,0.44,0.09,0.07,0.33,1.2,1.2,0.08,-0.2,-0.2,Matches
Rúben Neves,CMR,21,33.4,4,2,2,71,15,11,21.1,2.12,0.45,0.03,0.13,3.5,2.0,0.03,#ERROR!,0.0,Matches
Jonny Castro,RW,24,30.9,1,0,0,26,7,0,26.9,0.84,0.23,0.04,0.14,2.0,2.0,0.08,-1.0,-1.0,Matches
Diogo Jota,FWL,21,26.3,9,0,0,57,23,0,40.4,2.17,0.87,0.16,0.39,8.2,8.2,0.14,#ERROR!,#ERROR!,Matches
Leander Dendoncker,DM,23,16.3,2,0,0,16,9,0,56.3,0.98,0.55,0.13,0.22,2.6,2.6,0.17,-0.6,-0.6,Matches
Romain Saïss,CBL,28,12.7,2,0,0,11,5,0,45.5,0.87,0.39,0.18,0.40,1.6,1.6,0.15,#ERROR!,#ERROR!,Matches
Rúben Vinagre,LW,19,7.8,0,0,0,5,4,0,80.0,0.64,0.51,0.00,0.00,0.3,0.3,0.06,-0.3,-0.3,Matches
